gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
409336,02032,Уилский (02-032),02032002004,"обл. Актюбинская, р-н Уилский, с.о. Имени Ш.Берсиева",2001871.90622332,2000000,,,EPSG:32640
409337,02032,Уилский (02-032),02032002015,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил",1333224.07853464,1340000,,,EPSG:32640
409339,02032,Уилский (02-032),02032015518,"обл. Актюбинская, р-н Уилский, с.о. Коптогайский, с. Коптогай, ул. Мектеп, д. 5",401.585434065823,402,,0201300048910209,EPSG:32640
409340,02032,Уилский (02-032),02032010872,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил, уч. 300",1026.40277268499,1027,,2201700112348731,EPSG:32640
409341,02032,Уилский (02-032),02032004128,"обл. Актюбинская, р-н Уилский, с.о. Сарыбиеский",22422774.0949055,22410230.0,,,EPSG:32640
409342,02032,Уилский (02-032),02032010873,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил, уч. 221",999.985799135839,1000,,2201700112349837,EPSG:32640
409343,02032,Уилский (02-032),02032010874,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил, уч. 219",999.755461226316,1000,,2201700112349138,EPSG:32640
409344,02032,Уилский (02-032),02032002025,"обл. Актюбинская, р-н Уилский, с.о. Имени Ш.Берсиева, с. Каратал, зимовка Шанке, уч. 3",9305144.40897531,9310000,,2201900182583445,EPSG:32640
409345,02032,Уилский (02-032),02032008066,"обл. Актюбинская, р-н Уилский, с.о. Кайындинский, с. Акжар",4827489.0116419,4830000,,,EPSG:32640
409346,02032,Уилский (02-032),02032013440,,47199.4238755655,47300,,,EPSG:32640
409350,02032,Уилский (02-032),02032014299,"обл. Актюбинская, р-н Уилский, с.о. Саралжинский",24996850.2820659,25000000.0,,,EPSG:32640
409351,02032,Уилский (02-032),02032016278,"обл. Актюбинская, р-н Уилский, с.о. Коптогайский",5000182.72615689,5000000,,,EPSG:32640
409352,02032,Уилский (02-032),02032001406,"обл. Актюбинская, р-н Уилский, с.о. Имени Ш.Берсиева, с. Каратал, ул. О.Бакаева, уч. 13А",399.912219537362,400,,2201600099486405,EPSG:32640
409353,02032,Уилский (02-032),02032001327,"обл. Актюбинская, р-н Уилский, с.о. Имени Ш.Берсиева, с. Кумжарган, ул. К.Ержанова, д. 5, кв. 2",1977.40784587325,1978,,1201300042942822,EPSG:32640
409354,02032,Уилский (02-032),02032014165,,1499424.07316036,1500000,,,EPSG:32640
409355,02032,Уилский (02-032),02032002192,"обл. Актюбинская, р-н Уилский, с.о. Имени Ш.Берсиева",8598224.83296074,8600000,,,EPSG:32640
409356,02032,Уилский (02-032),02032010875,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил, уч. 220",999.824764517387,1000,,2201700112349431,EPSG:32640
409359,02032,Уилский (02-032),02032009359,"Актюбинская область, Уилский район, село Уил, улица Еркинова, дом №25, квартира 1",2127.40099563768,2128,,,EPSG:32640
409360,02032,Уилский (02-032),02032007291,"обл. Актюбинская, р-н Уилский, с.о. Кайындинский, с. Косембай, ул. Орталык, уч. 1А",999.143461459973,1000,,2201800156785470,EPSG:32640
409361,02032,Уилский (02-032),02032014091,,1798469.33270385,1799200,,,EPSG:32640
409362,02032,Уилский (02-032),02032014271,,260393.675538238,260499,,,EPSG:32640
409363,02032,Уилский (02-032),02032006101,"обл. Актюбинская, р-н Уилский, с.о. Караойский",3000838.50954988,3000000,,,EPSG:32640
409364,02032,Уилский (02-032),02032014090,,1750080.07513458,1750800,,,EPSG:32640
409365,02032,Уилский (02-032),02032007003,"обл. Актюбинская, р-н Уилский, с.о. Кайындинский, с. Акжар",255.56171218085,256,,,EPSG:32640
409367,02032,Уилский (02-032),02032012067,"обл. Актюбинская, р-н Уилский",420548.999044639,420000,,,EPSG:32640
409368,02032,Уилский (02-032),02032010794,"обл. Актюбинская, р-н Уилский, с.о. Уилский, с. Уил, ул. Кокжар, д. 121",999.939741730485,1000,,0201900098402550,EPSG:32640
