gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
334084,02022,Алгинский (02-022),02022009445,"обл. Актюбинская, р-н Алгинский, с.о. Каракудыкский, с. Каракудык, ул. Федорченко, уч. 55А",37.5291491637166,38,,2201300226411797,EPSG:32640
334085,02022,Алгинский (02-022),02022009446,"обл. Актюбинская, р-н Алгинский, с.о. Каракудыкский, с. Каракудык, ул. 2, уч. 27",563.117706118624,563,,2201500080496360,EPSG:32640
334086,02022,Алгинский (02-022),02022016365,"обл. Актюбинская, р-н Алгинский, с.о. Бескоспинский, с. Есет Батыр Кокиулы, зимовка Косем, уч. 3",2498.09277192161,2500,,2201500064739467,EPSG:32640
334087,02022,Алгинский (02-022),02022022555,"обл. Актюбинская, р-н Алгинский, с.о. Бестамакский, с. Бестамак, ул. Бокенбай Батыра, д. 45",741.48256991121,742,,0201300049980006,EPSG:32640
334088,02022,Алгинский (02-022),02022022787,"обл. Актюбинская, р-н Алгинский, с.о. Бестамакский, с. Бестамак, ул. Бокенбай Батыра, д. 43",759.666064176938,760,,0201300049980304,EPSG:32640
334091,02022,Алгинский (02-022),02022007354,"обл. Актюбинская, р-н Алгинский, с.о. Карагашский, с. Нурбулак, ул. Арна, д. 84А",1799.11103892724,1800,,0201900101446354,EPSG:32640
334092,02022,Алгинский (02-022),02022036269,"обл. Актюбинская, р-н Алгинский, с.о. Маржанбулакский, с. Маржанбулак, ул. А.Жангельдин, д. 28",1399.31352481431,1400,,0201300045888209,EPSG:32640
334094,02022,Алгинский (02-022),02022037023,"обл. Актюбинская, р-н Алгинский, с.о. Маржанбулакский",301459.992373541,302500,,,EPSG:32640
334096,02022,Алгинский (02-022),02022003771,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ж.м. №1, уч. 543",1230.11957259162,1231,,2201800154603476,EPSG:32640
334097,02022,Алгинский (02-022),02022003772,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ж.м. №1, уч. 532",1036.49079220186,1037,,2201800154603373,EPSG:32640
334098,02022,Алгинский (02-022),02022003773,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ж.м. №1, уч. 580",1357.98999547531,1359,,2201800155823578,EPSG:32640
334099,02022,Алгинский (02-022),02022003774,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ж.м. №1, уч. 567",1166.83270455172,1168,,2201800155823074,EPSG:32640
334100,02022,Алгинский (02-022),02022003292,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ул. Жас Кыран, д. 3",2421.17397991105,2423,,0201300045832005,EPSG:32640
334101,02022,Алгинский (02-022),02022003271,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ул. Жас Кыран, д. 1",1101.22595813359,1100,,0201300049039703,EPSG:32640
334103,02022,Алгинский (02-022),02022024141,"обл. Актюбинская, р-н Алгинский, с.о. Бестамакский, с. Бестамак, к.х. 1, уч. 14",19983.283449995,20000,,2201700106802837,EPSG:32640
334104,02022,Алгинский (02-022),02022004093,"обл. Актюбинская, р-н Алгинский, с.о. Ушкудыкский, с. Ушкудык, ул. Ата Мура, д. 2У",5372.96865748024,5376,,0201300330865300,EPSG:32640
334105,02022,Алгинский (02-022),02022005308,"обл. Актюбинская, р-н Алгинский, с.о. Карахобдинский, с. Карахобда, ул. Р.Агниязова, д. 28А",1498.91688573778,274,,0201300045871809,EPSG:32640
334106,02022,Алгинский (02-022),02022005298,"обл. Актюбинская, р-н Алгинский, с.о. Карахобдинский, с. Карахобда, ул. А.Жангелдина, д. 5",1167.71721326509,1169,,0201700062139063,EPSG:32640
