gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
568432,02041,Шалкар (02-041),020410061621,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. 5, д. 91",775.54977635864,776,,0201700058635963,EPSG:32640
568433,02041,Шалкар (02-041),02041001002,"Актюбинская обл., г. Шалкар, г.Шалкар ориен.мест. строен. ""Ұлы-Борсық"" ММК-6",357549.096724309,357586,,,EPSG:32640
568434,02041,Шалкар (02-041),02041001004,"Актюбинская обл., г. Шалкар, г.Шалкар ориен.мест. уч. Гидрометеорология жғне мониторинг орталығы 1",256.595866701115,258,,,EPSG:32640
568435,02041,Шалкар (02-041),02041001014,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Жастар, д. 20",1300.21226277594,1300,,0201300047693408,EPSG:32640
568437,02041,Шалкар (02-041),02041001032,"обл. Актюбинская, р-н Шалкарский, г. Шалкар",8690202.95082618,8688000,,,EPSG:32640
568438,02041,Шалкар (02-041),02041001035,"Актюбинская область, Шалкарский район, город Шалкар",1215246.29949115,1215000,,,EPSG:32640
568439,02041,Шалкар (02-041),02041001033,"обл. Актюбинская, р-н Шалкарский, г. Шалкар",10935000.259893,10933000.0,,,EPSG:32640
568440,02041,Шалкар (02-041),02041002331,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Шетыргыз, д. 2",999.876674992452,1000,,0201300047439809,EPSG:32640
568441,02041,Шалкар (02-041),02041002012,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Шетыргыз, д. 4",766.384988127499,766,,0201500043052337,EPSG:32640
568442,02041,Шалкар (02-041),02041006009,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Идирис Ургенишбаев, ст-е 51",503.694956485416,500,,0201600048204797,EPSG:32640
568443,02041,Шалкар (02-041),020410031025,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. И.Р.Доценко, д. 60",615.306464854414,615,,0201300048700405,EPSG:32640
568446,02041,Шалкар (02-041),02041007167,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, д.м. Дача, уч. 711",1199.64976739747,1200,,2201600100946104,EPSG:32640
568447,02041,Шалкар (02-041),02041001038,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Ондирис, ст-е 15",2336.11566581618,2336,,0201300052370809,EPSG:32640
568448,02041,Шалкар (02-041),02041001041,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, зимовка Шилисор, д. 1",5000952.12261356,5000000,,0201300203767400,EPSG:32640
568449,02041,Шалкар (02-041),02041001052,"обл. Актюбинская, р-н Шалкарский, г. Шалкар",32005.0023166207,32000,,,EPSG:32640
568450,02041,Шалкар (02-041),02041002037,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Карагулин, зд. 76В",1216.79414875896,1217,,0201300221358301,EPSG:32640
568451,02041,Шалкар (02-041),02041002015,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Т.Шойгарин, уч. 18А",13.9058750722436,14,,2201500052468961,EPSG:32640
568452,02041,Шалкар (02-041),02041002032,"Актюбинская область г. Шалкар, Қазыналық ғимараты, дом 48",2160.27456788018,2159,,,EPSG:32640
568453,02041,Шалкар (02-041),02041002041,"Актюбинская область город Шалкар, ул. Карагулина, уч. ДГП Желдоримущество",2212.79445679553,2212,,,EPSG:32640
568454,02041,Шалкар (02-041),02041002058,"Актюбинская область город Шалкар, Каз.здание",95.1369382868897,95,,,EPSG:32640
568455,02041,Шалкар (02-041),02041002088,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Мпс, уч. 74",1549.52529357567,1549,,2201300137863197,EPSG:32640
568456,02041,Шалкар (02-041),02041002099,"Актюбинская область город Шалкар, ул. Маяковского, соор. 2",1046.45130384351,1046,,,EPSG:32640
568457,02041,Шалкар (02-041),02041002194,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Абубакир Байсалбаев, д. 42, кв. 2",1316.85716362182,1317,,1201300047539020,EPSG:32640
568458,02041,Шалкар (02-041),02041002221,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. А.П.Тихонов, уч. 18",743.196508430195,743,,2201300049342597,EPSG:32640
568460,02041,Шалкар (02-041),02041004014,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Мпс, д. 71, кв. 4",80.3476301433677,81,,1201300047535727,EPSG:32640
568461,02041,Шалкар (02-041),02041006430,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Жерұйық, д. 11",254.01363321188,252,,0201300047573000,EPSG:32640
568464,02041,Шалкар (02-041),020410051695,"Актюбинская область, Шалкарский район, город Шалкар, улица Айтеке би ",143.060944140481,143,,,EPSG:32640
568465,02041,Шалкар (02-041),02041009003,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Карагулин, зд. 7А",59780.3879708168,58565,,0201500037359932,EPSG:32640
568466,02041,Шалкар (02-041),02041002238,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Мпс, уч. 18",2987.17660858088,2986,,2201300137839294,EPSG:32640
568467,02041,Шалкар (02-041),02041002052,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Карагулин, ст-е 74С",58.7639119463861,60,,0201300241060201,EPSG:32640
568468,02041,Шалкар (02-041),02041002140,"Актюбинская область город Шалкар, ул. Мин.воды, строен. маг ""Мөлдір""",49.6640162349442,50,,,EPSG:32640
568470,02041,Шалкар (02-041),02041003009,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, туп. Шокысу, зд. 12",3575.70904669903,3575,,0201900091674554,EPSG:32640
568471,02041,Шалкар (02-041),02041003011,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. Галатудин Резванов, соорж. 9Б",103.424985281933,105,,0201300227862203,EPSG:32640
568472,02041,Шалкар (02-041),02041003040,"обл. Актюбинская, р-н Шалкарский, г. Шалкар, ул. В.Цеханович, зд. 8А",1090.64718443332,1092,,0201300225396207,EPSG:32640
