gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
375303,02028,Каргалинский (02-028),02028037162,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Абылай Хана, д. 2, кв. 4",2005.46952856,2007,,1201300049372323,EPSG:32640
375304,02028,Каргалинский (02-028),02028037163,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Абылай Хана, д. 2, кв. 1",2006.03331090471,2007,,1201300049372124,EPSG:32640
375305,02028,Каргалинский (02-028),02028037164,"Актюбинская область, Каргалинский район, Желтауский с/о, село  Александровка",1700.60791779485,1702,,,EPSG:32640
375306,02028,Каргалинский (02-028),02028037165,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. О.Канахина, д. 4",1202.15397646252,1203,,0201300046373100,EPSG:32640
375307,02028,Каргалинский (02-028),02028037166,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Н.Орынбасаров, д. 23",764.08363697325,765,,0201300046370505,EPSG:32640
375308,02028,Каргалинский (02-028),02028037168,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Абылай Хана, уч. 53",1794.34030604607,1795,,2201300046946892,EPSG:32640
375310,02028,Каргалинский (02-028),02028037170,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Абилкайыр Хана, д. 28",1648.68526052914,1650,,0201300046371507,EPSG:32640
375311,02028,Каргалинский (02-028),02028037171,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. М.Казкеева, д. 19",651.023084050774,651,,0201300046373203,EPSG:32640
375312,02028,Каргалинский (02-028),02028037175,"Актюбинская область, Каргалинский район, Желтауский с/о, село  Александровка",1686.29389881292,1687,,,EPSG:32640
375313,02028,Каргалинский (02-028),02028037176,"Актюбинская область, Каргалинский район, Желтауский с/о, село  Александровка",2542.75001862359,2544,,,EPSG:32640
375314,02028,Каргалинский (02-028),02028037177,"обл. Актюбинская, р-н Каргалинский, с.о. Желтауский, с. Шамши Калдаякова, ул. Абилкайыр Хана, д. 30",2075.75421534866,2078,,0201300046371704,EPSG:32640
