gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
362431,02025,Иргизский (02-025),02025002006,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Отебай Канахина, ст-е 18",844.295789190561,845,,0201400009987381,EPSG:32641
362432,02025,Иргизский (02-025),02025002451,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Жамбыл Жабаева, д. 37",633.576663683405,634,,0201300144455408,EPSG:32641
362433,02025,Иргизский (02-025),02025019081,"обл. Актюбинская, р-н Иргизский, с.о. Жайсанбайский, с. Жайсанбай",29976.550230167,30000,,,EPSG:32641
362434,02025,Иргизский (02-025),020250022529,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Шалқар",999.056871861368,1000,,,EPSG:32641
362435,02025,Иргизский (02-025),02025003350,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, тр. Самара Шымкент, уч. 15А",12493.2828472211,12500,,2202200220259249,EPSG:32641
362436,02025,Иргизский (02-025),02025003351,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, тр. Самара Шымкент, зд. 15",14992.0208587093,15000,,0201700068631967,EPSG:32641
362437,02025,Иргизский (02-025),02025003352,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, тр. Самара Шымкент, уч. 15Б",12494.0406669575,12500,,2202200220259644,EPSG:32641
362438,02025,Иргизский (02-025),02025011118,"обл. Актюбинская, р-н Иргизский, с.о. Нуринский, с. Бельшер, зимовка Жаркамыс",3497202.02432097,3500000,,,EPSG:32641
362439,02025,Иргизский (02-025),02025005366,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский",11991395.3298849,12000000.0,,,EPSG:32641
362441,02025,Иргизский (02-025),02025009012,,27292736.482472,27290500.0,,,EPSG:32641
362442,02025,Иргизский (02-025),02025009110,"обл. Актюбинская, р-н Иргизский, с.о. Кумтогайский",11478.4546407385,11477,,,EPSG:32641
362443,02025,Иргизский (02-025),02025012036,"обл. Актюбинская, р-н Иргизский, с.о. Жайсанбайский, с. Жайсанбай, ул. Казакстан Республикасы Тауелсиздигине 20 Жыл, д. 31",1378.88195970738,1380,,0201300228313207,EPSG:32641
362444,02025,Иргизский (02-025),020250022524,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Калыбай, ул. Агытая Койлыбаева, д. 11",1132.87253215518,1133,,0201300144842908,EPSG:32641
362445,02025,Иргизский (02-025),020250022540,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Шалқар, уч. 224",999.041302636285,1000,,2202200219590540,EPSG:32641
362446,02025,Иргизский (02-025),02025003349,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский, с. Курылыс, уч. Участок, уч. 1",2498.89043599828,2500,,2202000188785970,EPSG:32641
362447,02025,Иргизский (02-025),020250022541,"Актюбинская область, Иргизский район, село Иргиз, улица Ж. Жабаева, дом 12, квартира 1",1029.72326933761,1030,,,EPSG:32641
362448,02025,Иргизский (02-025),02025006003,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский, с. Курылыс, ул. Байжан Белесова, д. 23",1466.77764602311,1467,,0201300048528106,EPSG:32641
362449,02025,Иргизский (02-025),02025019082,"обл. Актюбинская, р-н Иргизский, с.о. Жайсанбайский, с. Жайсанбай",17206026.2297061,17220000.0,,,EPSG:32641
362450,02025,Иргизский (02-025),02025007219,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский",13302431.3742547,13300000.0,,,EPSG:32641
362451,02025,Иргизский (02-025),02025009013,,10012077.4724357,10019000.0,,,EPSG:32641
362453,02025,Иргизский (02-025),02025005373,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский",14339110.0921757,14350000.0,,,EPSG:32641
362454,02025,Иргизский (02-025),02025006151,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский, с. Курылыс, ул. Байузак Ермекбаева, д. 1",1097.83544129479,1098,,0201300052921006,EPSG:32641
362455,02025,Иргизский (02-025),02025004071,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Кутиколь, ул. Толеу Манасов, д. 48",549.490420198725,550,,0201300052860309,EPSG:32641
362457,02025,Иргизский (02-025),02025008239,"обл. Актюбинская, р-н Иргизский, с.о. Кумтогайский, с. Каракудык, ул. Назаралы Аулие, уч. 9",14978.6173011162,14980,,2201300045174593,EPSG:32641
362458,02025,Иргизский (02-025),02025004408,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Жарма, уч. кв. 004, уч. 4",669.354832193232,670,,2202300010524607,EPSG:32641
362459,02025,Иргизский (02-025),02025005374,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Аманколь, уч. кв. 005",34044322.0159795,34070000.0,,,EPSG:32641
362460,02025,Иргизский (02-025),020250022545,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Темірастау, уч. 485",999.620833918324,1000,,2202200222406440,EPSG:32641
362461,02025,Иргизский (02-025),020250022546,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Кенесары Хан, уч. 6",44.9680133478863,45,,2202200223345840,EPSG:32641
362462,02025,Иргизский (02-025),02025007164,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский",54966620.9580941,55003200.0,,,EPSG:32641
362463,02025,Иргизский (02-025),02025003287,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский",43785327.3523571,43800000.0,,,EPSG:32641
362465,02025,Иргизский (02-025),02025010255,"обл. Актюбинская, р-н Иргизский, с.о. Нуринский, с. Нура, ул. Темирбек Жургенова, уч. 33",999.20462759416,1000,,2201300045176592,EPSG:32641
362466,02025,Иргизский (02-025),02025010256,"обл. Актюбинская, р-н Иргизский, с.о. Нуринский, с. Нура, ул. Темирбек Жургенова, уч. 39А",999.197631252313,1000,,2202200224203944,EPSG:32641
362468,02025,Иргизский (02-025),02025010009,"обл. Актюбинская, р-н Иргизский, с.о. Нуринский, с. Мамыр, ул. Абу Бакси, д. 18",700.265435005192,702,,0201300228104008,EPSG:32641
362469,02025,Иргизский (02-025),020250022547,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Калыбай, уч. Участок, уч. 1",19985.8877647139,20000,,2202200224159149,EPSG:32641
362470,02025,Иргизский (02-025),02025007220,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, тр. Самара Шымкент",9996.23370793762,10000,,,EPSG:32641
362471,02025,Иргизский (02-025),020250022556,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Калыбай, тр. Самара - Шымкент, уч. 4",9946.2353555997,9950,,2202222485465444,EPSG:32641
362472,02025,Иргизский (02-025),02025002412,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Акши, ул. 10 Лет Астаны, д. 16",1134.01227866339,1135,,0201300153892705,EPSG:32641
362475,02025,Иргизский (02-025),020250022558,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Кутиколь, уч. 314",999.581139958269,1000,,2202222485407847,EPSG:32641
362476,02025,Иргизский (02-025),020250021529,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Темирбека Жургенова, д. 34",181.873526702618,182,,0201300218604400,EPSG:32641
362477,02025,Иргизский (02-025),02025006125,"обл. Актюбинская, р-н Иргизский, с.о. Кызылжарский, с. Жаныс Би, ул. Достык, д. 13",2356.02348421607,2356,,0201300053100402,EPSG:32641
362478,02025,Иргизский (02-025),02025004069,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Аманколь, ул. Айкын Кантайулы, д. 17",2502.91030930683,2505,,0201300052128808,EPSG:32641
362479,02025,Иргизский (02-025),020250022521,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Калыбай, ул. Мейирхана Жусипова, д. 5А",1047.29892312974,1048,,0202100406426784,EPSG:32641
362480,02025,Иргизский (02-025),02025011123,"обл. Актюбинская, р-н Иргизский, с.о. Нуринский, с. Нура, уч. кв. 001",6494766.0464044,6500000,,,EPSG:32641
362481,02025,Иргизский (02-025),020250022522,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Иргиз, ул. Сұңқарқия, уч. 349",999.132239660686,1000,,2202100214769618,EPSG:32641
362482,02025,Иргизский (02-025),02025004043,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Кутиколь, ул. Нуртуяк Жаманшин, д. 19",1244.22290526806,1245,,0201300048484008,EPSG:32641
362483,02025,Иргизский (02-025),02025004057,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Аманколь, ул. Тел Жаманмурынов, д. 2",1047.92709201896,1049,,0201300052875800,EPSG:32641
362484,02025,Иргизский (02-025),02025004401,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Аманколь, ул. Тел Жаманмурынов, д. 4",1080.1376016791,1081,,0201300052876300,EPSG:32641
362485,02025,Иргизский (02-025),02025004402,"обл. Актюбинская, р-н Иргизский, с.о. Иргизский, с. Калалыколь, ул. Казакстан Республикасы Тауелсиздигине 20 Жыл, уч. 8",2996.86553710367,3000,,2201300137736896,EPSG:32641
362486,02025,Иргизский (02-025),02025004403,"обл. Актюбинская, р-н Иргизский, с.о. Аманкольский, с. Кутиколь, ул. Шултик Жоланов, д. 35",893.774770759677,894,,0202100451012487,EPSG:32641
