gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
431827,02035,Шалкарский (02-035),02035001007,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Нияз Би, зд. 11",2306.24369015191,2300,,0201300217706709,EPSG:32640
431828,02035,Шалкарский (02-035),02035002004,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский",11415940.9280094,11420000.0,,,EPSG:32640
431829,02035,Шалкарский (02-035),02035002005,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский",20200738.7475984,20210000.0,,,EPSG:32640
431830,02035,Шалкарский (02-035),020350301083,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Монке Би, ст-е 47",449.825269123871,450,,0202300023765796,EPSG:32640
431831,02035,Шалкарский (02-035),020350301084,"Актюбинская область, Шалкарский район, Бозойский сельский округ,село Бозой, улица У.Бактыбай, №9",2365.91496864758,2367,,,EPSG:32640
431833,02035,Шалкарский (02-035),02035021528,"Актюбинская область, Шалкарский район, Кауылжырский сельский округ, село Кауылжыр",178.77247469673,179,,,EPSG:32640
431834,02035,Шалкарский (02-035),02035007897,"Актюбинская область, Шалкарский район, Кишикумский сельский округ, село Шиликти, улица Сартепсен",580.817962309253,580,,,EPSG:32640
431835,02035,Шалкарский (02-035),02035002007,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Есет Ата, зимовка Жаркамыс, ст-е 4",48432276.2483504,48454000.0,,0202000150628822,EPSG:32640
431836,02035,Шалкарский (02-035),02035002008,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",999248.056937522,1000000,,,EPSG:32640
431837,02035,Шалкарский (02-035),02035002010,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",20423381.0003951,20430000.0,,,EPSG:32640
431838,02035,Шалкарский (02-035),02035002011,"Актюбинская область, Шалкарский район, Айшуакский сельский округ",20215502.1559143,20210000.0,,,EPSG:32640
431839,02035,Шалкарский (02-035),02035002013,"Актюбинская обл., Шалкарский р-н., Айшуакский сельский округ (на землях ПК Айшуак) ориен.мест. уч. КХ Кожанов",8557362.8742124,8560000,,,EPSG:32640
431840,02035,Шалкарский (02-035),02035002014,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",11111026.9734109,11120000.0,,,EPSG:32640
431841,02035,Шалкарский (02-035),02035002015,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",27814129.143141,27820000.0,,,EPSG:32640
431844,02035,Шалкарский (02-035),02035002020,"Актюбинская область Шалкарский район, Бозойский ориен.мест., уч. ТОО  Бозойтехс",2498.13921096472,2500,,,EPSG:32640
431845,02035,Шалкарский (02-035),02035002021,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",10684724.7196319,10700000.0,,,EPSG:32640
431846,02035,Шалкарский (02-035),02035002022,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Коянкулак, зимовка Томаркудык, д. 1",8554510.7918503,8560000,,0201300203093705,EPSG:32640
431847,02035,Шалкарский (02-035),02035002023,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",21386194.2604211,21400000.0,,,EPSG:32640
431848,02035,Шалкарский (02-035),02035002024,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",10034029.6900821,10037000.0,,,EPSG:32640
431849,02035,Шалкарский (02-035),02035002025,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Коянкулак, зимовка Караногай, д. 1",45093224.6372844,45124000.0,,0201300202724104,EPSG:32640
431850,02035,Шалкарский (02-035),02035002028,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",11997553.0376918,12004000.0,,,EPSG:32640
431851,02035,Шалкарский (02-035),02035002029,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",14693848.3316903,14702000.0,,,EPSG:32640
431853,02035,Шалкарский (02-035),02035002031,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",10694418.9546644,10700000.0,,,EPSG:32640
431854,02035,Шалкарский (02-035),02035002032,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",16610109.1178234,16623000.0,,,EPSG:32640
431855,02035,Шалкарский (02-035),02035002033,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, зимовка Айшуак",14972982.199807,14980000.0,,,EPSG:32640
431856,02035,Шалкарский (02-035),02035001281,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Есет Котiбарулы, д. 28",1889.03011139052,1890,,0201300145013505,EPSG:32640
431857,02035,Шалкарский (02-035),02035004703,"обл. Актюбинская, р-н Шалкарский, с.о. Бершугир, ст. Бершугир, ул. Илияс Жетписбаев, уч. 23",701.31228679481,701,,2201400008452510,EPSG:32640
431858,02035,Шалкарский (02-035),02035012230,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",36339530.1983241,35000000.0,,,EPSG:32640
431859,02035,Шалкарский (02-035),02035002036,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, зимовка Кокала, д. 1",10493413.7823963,10500000.0,,0201300202513208,EPSG:32640
431860,02035,Шалкарский (02-035),02035002042,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",9995645.1187093,10000000.0,,,EPSG:32640
431861,02035,Шалкарский (02-035),02035002040,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, зимовка Туз, д. 1",25094169.1562561,25113000.0,,0201300202532806,EPSG:32640
431862,02035,Шалкарский (02-035),02035011307,"Актюбинская область, Шалкарский район, сельский округ Е.Котибарулы, село Байкадам, улица Е.Котибарулы, №18 ",1933.95266462541,1934,,,EPSG:32640
431863,02035,Шалкарский (02-035),02035002043,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",39990441.5324101,39996500.0,,,EPSG:32640
431864,02035,Шалкарский (02-035),02035002047,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",5006463.66777874,5008000,,,EPSG:32640
431865,02035,Шалкарский (02-035),02035013237,"обл. Актюбинская, р-н Шалкарский, с.о. Монкебийский, с. Монке Би, ул. Жагалау, д. 21",1202.80118137685,1200,,0201300323875208,EPSG:32640
431866,02035,Шалкарский (02-035),02035028070,"обл. Актюбинская, р-н Шалкарский",2848.89193557935,2850,,,EPSG:32640
431868,02035,Шалкарский (02-035),02035002055,"Актюбинская область Шалкарский район, на землях ПК Айшуак ориен.мест., уч. Торайғыр  ШҚ",10014979.0243738,10021000.0,,,EPSG:32640
431869,02035,Шалкарский (02-035),02035012041,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",5999835.44981696,6000000,,,EPSG:32640
431870,02035,Шалкарский (02-035),02035012060,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",79974132.1924488,80000000.0,,,EPSG:32640
431871,02035,Шалкарский (02-035),02035012061,,15004695.7595844,15000000.0,,,EPSG:32640
431872,02035,Шалкарский (02-035),02035028012,"обл. Актюбинская, р-н Шалкарский",9323236.94528169,9330000,,,EPSG:32640
431873,02035,Шалкарский (02-035),02035001002,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Жангелдин, д. 3, кв. 4",571.359928841439,572,,1201300151010122,EPSG:32640
431874,02035,Шалкарский (02-035),02035028137,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой",14987071.426541,15000000.0,,,EPSG:32640
431875,02035,Шалкарский (02-035),02035008008,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",19719066.521616,19700000.0,,,EPSG:32640
431876,02035,Шалкарский (02-035),02035008079,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",15317452.0719514,15300000.0,,,EPSG:32640
431877,02035,Шалкарский (02-035),02035011154,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы, с. Байкадам, ул. Кайдауыл Едигеулы, д. 10",901.505965225916,901,,0201300048218004,EPSG:32640
431878,02035,Шалкарский (02-035),02035001003,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Т.Басенов, д. 4",1019.72960059876,1020,,0201300049566405,EPSG:32640
431879,02035,Шалкарский (02-035),02035004616,"обл. Актюбинская, р-н Шалкарский, с.о. Бершугир, ст. Бершугир, ул. Шыгыс, д. 8, кв. 1",2068.56227059668,2070,,1201300047592021,EPSG:32640
431880,02035,Шалкарский (02-035),02035017095,"обл. АКТЮБИНСКАЯ, р-н ШАЛКАРСКИЙ, с.о. ШЕТИРГИЗСКИЙ",10001443.976423,10000000.0,,,EPSG:32640
431881,02035,Шалкарский (02-035),02035008045,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",4005606.01737829,4003000,,,EPSG:32640
431882,02035,Шалкарский (02-035),02035008046,"обл. Актюбинская, р-н Шалкарский, с.о. Тогызский",10009820.0326882,10000000.0,,,EPSG:32640
431883,02035,Шалкарский (02-035),02035012255,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",20000280.0673034,20000000.0,,,EPSG:32640
431884,02035,Шалкарский (02-035),02035006057,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",2400133.55379354,2400000,,,EPSG:32640
431885,02035,Шалкарский (02-035),02035002130,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",109927769.415966,110000000.0,,,EPSG:32640
431886,02035,Шалкарский (02-035),02035015171,"обл. Актюбинская, р-н Шалкарский, с.о. Шалкарский, с. Жылтыр, ул. Ардагер, д. 16",1965.66710816792,1966,,0201300047782505,EPSG:32640
431887,02035,Шалкарский (02-035),02035006067,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",9997408.50706515,10000000.0,,,EPSG:32640
431888,02035,Шалкарский (02-035),02035006066,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",11397692.6257161,11400000.0,,,EPSG:32640
431889,02035,Шалкарский (02-035),02035016212,"обл. Актюбинская, р-н Шалкарский",3270618.71320043,3270000,,,EPSG:32640
431890,02035,Шалкарский (02-035),02035028145,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",7513080.09351188,7500000,,,EPSG:32640
431891,02035,Шалкарский (02-035),02035006068,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",30879121.8208439,30890000.0,,,EPSG:32640
431892,02035,Шалкарский (02-035),02035006070,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",7998928.34542238,8000000,,,EPSG:32640
431893,02035,Шалкарский (02-035),02035001036,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Карагул Батыр, уч. 16",2546.30871453191,2546,,2201300045672393,EPSG:32640
431895,02035,Шалкарский (02-035),02035001066,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Нияз Би, уч. 5",985.339187723427,986,,2201300049359198,EPSG:32640
431896,02035,Шалкарский (02-035),02035001072,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Карагул Батыр, уч. 13",857.998828041498,858,,2201300137980792,EPSG:32640
431897,02035,Шалкарский (02-035),02035001073,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. С.Сейфуллина, д. 14",1570.87729246623,1571,,0201300047704403,EPSG:32640
431898,02035,Шалкарский (02-035),02035001074,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Ж.Жабаев, д. 4",1156.64479042538,1157,,0201300145014409,EPSG:32640
431899,02035,Шалкарский (02-035),02035001075,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Молдагуловой, д. 5",1283.23616040105,1283,,0201300047701808,EPSG:32640
431900,02035,Шалкарский (02-035),02035001076,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский, с. Бегимбет, ул. Амангелди, д. 15",2913.08315715758,2913,,0201300047702605,EPSG:32640
431901,02035,Шалкарский (02-035),02035026177,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",399.390064818742,401,,,EPSG:32640
431902,02035,Шалкарский (02-035),02035018029,"обл. Актюбинская, р-н Шалкарский",7505022.61003288,7504000,,,EPSG:32640
431903,02035,Шалкарский (02-035),02035018030,"обл. Актюбинская, р-н Шалкарский",505182.070133219,505000,,,EPSG:32640
431904,02035,Шалкарский (02-035),02035018031,"обл. Актюбинская, р-н Шалкарский, с.о. Шалкарский",4899503.05479851,5004300,,,EPSG:32640
431905,02035,Шалкарский (02-035),02035012165,"обл. Актюбинская, р-н Шалкарский, с.о. Кишикумский",11964464.648855,12000000.0,,,EPSG:32640
431906,02035,Шалкарский (02-035),02035012168,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",6000010.70869928,6000000,,,EPSG:32640
431907,02035,Шалкарский (02-035),02035012098,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",5039769.50798887,5040000,,,EPSG:32640
431908,02035,Шалкарский (02-035),02035012122,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",7015762.92855282,7019000,,,EPSG:32640
431909,02035,Шалкарский (02-035),02035012125,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",7000128.00857865,7000000,,,EPSG:32640
431910,02035,Шалкарский (02-035),02035012127,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",10075062.0617764,10073000.0,,,EPSG:32640
431911,02035,Шалкарский (02-035),02035012128,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Коянкулак, зимовка Шаштыбай, д. 1",10957496.3188587,10963000.0,,0201300202548906,EPSG:32640
431912,02035,Шалкарский (02-035),02035012129,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",8022819.78087916,8025000,,,EPSG:32640
431913,02035,Шалкарский (02-035),02035028162,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой",1997.77807631116,2000,,,EPSG:32640
431914,02035,Шалкарский (02-035),02035028161,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой",1999.00363273758,2000,,,EPSG:32640
431915,02035,Шалкарский (02-035),02035002073,"обл. Актюбинская, р-н Шалкарский, с.о. Айшуакский",34962321.966176,35000000.0,,,EPSG:32640
431916,02035,Шалкарский (02-035),02035026471,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский",7088.58259806106,7168,,,EPSG:32640
431917,02035,Шалкарский (02-035),02035030478,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Есет-Дарибай, уч. 2",1707.57669394453,1709,,2201300045083397,EPSG:32640
431918,02035,Шалкарский (02-035),02035030427,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Кошкарата, уч. 5",314.187118312764,315,,2201300213826596,EPSG:32640
431919,02035,Шалкарский (02-035),02035030727,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Торайгыр, ст-е 62",140.900893436293,144,,0201300154405408,EPSG:32640
431921,02035,Шалкарский (02-035),02035028138,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский",14987280.2028882,15000000.0,,,EPSG:32640
431922,02035,Шалкарский (02-035),02035006305,"обл. Актюбинская, р-н Шалкарский, с.о. Жанаконысский",29870069.0172706,30000000.0,,,EPSG:32640
431924,02035,Шалкарский (02-035),02035022315,"обл. Актюбинская, р-н Шалкарский, с.о. Бершугир, с. Сарысай, ул. Карабулак, зд. 15",37656.1968605918,37674,,0201300225397409,EPSG:32640
431925,02035,Шалкарский (02-035),02035022385,"обл. Актюбинская, р-н Шалкарский, с.о. Бершугир, ст. Бершугир, ул. Алексей Петрович Тихонов, соорж. 12А",6.0842846340813,6,,0201300332032002,EPSG:32640
431926,02035,Шалкарский (02-035),02035010002,"обл. АКТЮБИНСКАЯ, р-н ШАЛКАРСКИЙ, с.о. ШЕТИРГИЗСКИЙ",30239761.5693937,30230000.0,,,EPSG:32640
431927,02035,Шалкарский (02-035),02035010003,"обл. АКТЮБИНСКАЯ, р-н ШАЛКАРСКИЙ, с.о. ШЕТИРГИЗСКИЙ",1000698.58201961,1000000,,,EPSG:32640
431928,02035,Шалкарский (02-035),02035030887,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Тауелсиздик, ст-е 13",265.975010704389,266,,0201500043049431,EPSG:32640
431929,02035,Шалкарский (02-035),02035021477,"обл. Актюбинская, р-н Шалкарский, с.о. Кауылжырский, ст. Улпан, ул. Улпан, ст-е 18",1200.25415154922,1200,,0201500040825032,EPSG:32640
431930,02035,Шалкарский (02-035),02035004329,"обл. Актюбинская, р-н Шалкарский, с.о. Бершугир, ст. Бершугир, ул. Илияс Жетписбаев, д. 7",1343.47762237353,1344,,0201300047723508,EPSG:32640
431931,02035,Шалкарский (02-035),02035030338,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Монке Би, ст-е 2Б",998.382821999676,999,,0201500041170239,EPSG:32640
431932,02035,Шалкарский (02-035),02035003410,"обл. Актюбинская, р-н Шалкарский, с.о. Актогайский, ст. Котыртас, ул. Бейбитшилик, д. 29",835.759327821397,836,,0201300152479000,EPSG:32640
431933,02035,Шалкарский (02-035),02035030587,"обл. Актюбинская, р-н Шалкарский, с.о. Бозойский, с. Бозой, ул. Итесулы Амангали Ахун, д. 23",999.708517675953,1000,,0201300047716903,EPSG:32640
431934,02035,Шалкарский (02-035),02035003318,"обл. Актюбинская, р-н Шалкарский, с.о. Актогайский, ст. Котыртас, ул. Бейбитшилик, д. 33",901.712148246811,903,,0201300152480809,EPSG:32640
431935,02035,Шалкарский (02-035),02035012279,"обл. Актюбинская, р-н Шалкарский, с.о. Есет Котибарулы",25017511.450807,25000000.0,,,EPSG:32640
431936,02035,Шалкарский (02-035),02035014004,"обл. Актюбинская, р-н Шалкарский",24.759546211718,25,,,EPSG:32640
431937,02035,Шалкарский (02-035),02035014005,"Актюбинская область, Шалкарский район, станция Монке би",451.212060029607,450,,,EPSG:32640
431938,02035,Шалкарский (02-035),02035004015,"обл. Актюбинская, р-н Шалкарский, с.о. Актогайский",8857068.17734965,8860000,,,EPSG:32640
