gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
399828,02031,Темирский (02-031),02031001001,"Актюбинская область,Темирский район, Алтыкарасуский сельский округ",8772.1043894694,8772,,,EPSG:32640
399829,02031,Темирский (02-031),02031001002,"обл. Актюбинская, р-н Темирский, с.о. Алтыкарасуский, с. Сарытогай, зимовка Таскемер, уч. 2",8714.72037177308,8700,,2201500071455062,EPSG:32640
399830,02031,Темирский (02-031),02031002008,"обл. Актюбинская, р-н Темирский, с.о. Алтыкарасуский, с. Алтыкарасу, зимовка Шолаққарағанды, ст-е 9",15037886.0376597,15050000.0,,0201500039749433,EPSG:32640
399831,02031,Темирский (02-031),02031002013,"обл. Актюбинская, р-н Темирский, с.о. Алтыкарасуский, с. Енбекши, зимовка Шығырлы, д. 1",6724936.53711915,6730000,,0201400011929980,EPSG:32640
399832,02031,Темирский (02-031),020310182574,"Актюбинская область,Темирский район, Шубаркудукский сельский округ, поселок Шубаркудук,микрорайон Кызылжар-3,улица Астана участок № 366",999.674045216055,1000,,,EPSG:32640
399833,02031,Темирский (02-031),020310182580,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, мкр. Кызылжар 3, уч. 506",999.233699316961,1000,,2202200223378343,EPSG:32640
399834,02031,Темирский (02-031),02031018671,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Нарен Имашев, д. 6, кв. 2",2071.60997973819,2073,,1201300220882920,EPSG:32640
399836,02031,Темирский (02-031),020310051198,"обл. Актюбинская, р-н Темирский, с.о. Кенкиякский, с. Башенколь, ул. Бәшен, д. 9",2497.72834893776,2500,,0201300324264909,EPSG:32640
399837,02031,Темирский (02-031),02031017699,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Шыганак Берсеев, д. 3",1556.21864625909,1557,,0201300049050901,EPSG:32640
399838,02031,Темирский (02-031),02031018247,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Жансен Кереев, д. 27А",999.372149505062,1000,,0201300236230500,EPSG:32640
399841,02031,Темирский (02-031),020310051662,"обл. Актюбинская, р-н Темирский, с.о. Кенкиякский, с. Кенкияк, ул. Сәңкібай Ата, д. 13",749.334158561345,750,,0201300229000003,EPSG:32640
399842,02031,Темирский (02-031),020310181222,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Нурпейс Байганин, ст-е 12А",29.8957895215484,30,,0201400020039482,EPSG:32640
399843,02031,Темирский (02-031),020310171500,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Изтилеу Балмуханбедов, д. 55",999.177609918691,1000,,0201400020101980,EPSG:32640
399844,02031,Темирский (02-031),02031001077,"обл. Актюбинская, р-н Темирский, с.о. Алтыкарасуский, с. Алтыкарасу, ул. Бакаева Каблена, д. 6",1383.35609304777,1384,,0201300144308007,EPSG:32640
399845,02031,Темирский (02-031),02031001253,"обл. Актюбинская, р-н Темирский, с.о. Алтыкарасуский, с. Алтыкарасу, ул. Астана, д. 37",1056.16414784332,1059,,0201300226545403,EPSG:32640
399846,02031,Темирский (02-031),02031017755,"Актюбинская область,Темирский район, Шубаркудукский сельский округ, поселок Шубаркудук, улица Ш. Берсеева, дом №44, кв.1",1993.11081833728,2068,,,EPSG:32640
399847,02031,Темирский (02-031),020310051893,"обл. Актюбинская, р-н Темирский, с.о. Кенкиякский, с. Кенкияк, ул. Қабылғазы Балуанов, д. 14",1331.83425758534,1333,,0201300236050400,EPSG:32640
399848,02031,Темирский (02-031),020310051957,"обл. Актюбинская, р-н Темирский",45495.245242132,45500,,,EPSG:32640
399849,02031,Темирский (02-031),020310051958,"обл. Актюбинская, р-н Темирский",30625.3356722786,30625,,,EPSG:32640
399850,02031,Темирский (02-031),020310051959,"обл. Актюбинская, р-н Темирский",103437.718216472,103500,,,EPSG:32640
399852,02031,Темирский (02-031),020310051990,"обл. Актюбинская, р-н Темирский, с.о. Саркольский, п. Шубарши, ул. Аврова, ст-е 34",32.457306034588,32,,0201400002580488,EPSG:32640
399853,02031,Темирский (02-031),02031016097,"обл. Актюбинская, р-н Темирский, с.о. Темирский",4999809.22742218,5000000,,,EPSG:32640
399854,02031,Темирский (02-031),02031011123,"обл. Актюбинская, р-н Темирский, с.о. Таскопинский",20650075.9933564,30000000.0,,,EPSG:32640
399855,02031,Темирский (02-031),02031018807,"обл. Актюбинская, р-н Темирский, с.о. Шубаркудыкский, п. Шубаркудык, ул. Темиржол, д. 4, кв. 1",2332.57104442464,2334,,1201300214854529,EPSG:32640
