gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
344716,02023,Байганинский (02-023),02023002032,"обл. Актюбинская, р-н Байганинский, с.о. Кызылбулакский",13422502.4459042,13508958.0,,,EPSG:32640
344720,02023,Байганинский (02-023),02023002043,,15397818.1732734,15410000.0,,,EPSG:32640
344721,02023,Байганинский (02-023),02023002045,"обл. Актюбинская, р-н Байганинский, с.о. Карауылкелдинский, с. Карауылкелды",142.684599542191,143,,,EPSG:32640
344722,02023,Байганинский (02-023),02023002046,"обл. Актюбинская, р-н Байганинский, с.о. Кызылбулакский",21322352.1196798,21340000.0,,,EPSG:32640
344723,02023,Байганинский (02-023),02023002049,,2005391.89085577,2010000,,,EPSG:32640
344724,02023,Байганинский (02-023),02023002050,,6000340.48832735,6000000,,,EPSG:32640
344728,02023,Байганинский (02-023),02023015695,"обл. Актюбинская, р-н Байганинский, с.о. Карауылкелдинский, с. Карауылкелды, ул. Болашак., уч. 103",944.509275935794,945,,2202300000947201,EPSG:32640
344729,02023,Байганинский (02-023),02023010121,"обл. Актюбинская, р-н Байганинский, с.о. Жаркамысский",2.21830151839656,2,,,EPSG:32640
344732,02023,Байганинский (02-023),020230141448,"обл. Актюбинская, р-н Байганинский, с.о. Карауылкелдинский, с. Карауылкелды, ул. Кожабай Жазыкова, д. 9Д",1162.11485641973,1163,,0201300739534403,EPSG:32640
344733,02023,Байганинский (02-023),02023012083,"обл. Актюбинская, р-н Байганинский, с.о. Миялинский",25148279.6189338,25166800.0,,,EPSG:32640
344734,02023,Байганинский (02-023),02023012088,"обл. Актюбинская, р-н Байганинский, с.о. Миялинский",31976129.6467878,32000000.0,,,EPSG:32640
344740,02023,Байганинский (02-023),02023019460,"обл. Актюбинская, р-н Байганинский, с.о. Кольтабанский, с. Жарлы, ул. Желтоксан, д. 2, кв. 2",1997.53298036753,1995,,1201300150281724,EPSG:32640
344741,02023,Байганинский (02-023),02023003132,"обл. Актюбинская, р-н Байганинский, с.о. Сарытогайский, с. Алтай Батыр, ул. Мектеп, уч. 19",1461.96144384841,1461,,2201300045277699,EPSG:32640
344742,02023,Байганинский (02-023),02023012104,"обл. Актюбинская, р-н Байганинский, с.о. Миялинский",12989808.1735742,13000000.0,,,EPSG:32640
344748,02023,Байганинский (02-023),02023015644,"обл. Актюбинская, р-н Байганинский, с.о. Карауылкелдинский, с. Карауылкелды, ул. Жагалау, уч. 139",19984.3538590042,20000,,2202100202566518,EPSG:32640
344749,02023,Байганинский (02-023),02023013012,"обл. Актюбинская, р-н Байганинский, с.о. Карауылкелдинский, с. Карауылкелды, ул. Бармак Батыра, д. 118",1121.40775981659,1100,,0201300049551800,EPSG:32640
344750,02023,Байганинский (02-023),02023009528,"обл. Актюбинская, р-н Байганинский, с.о. Жаркамысский, с. Каражар, ул. Массагат, д. 4А",995.516954227354,1000,,0201300052021403,EPSG:32640
